_id,from,to
69d400827dca6ba0935a8397,MCN,MCO
69d400827dca6ba0935a8398,MCO,FLL
69d400827dca6ba0935a8399,MCO,GNV
69d400827dca6ba0935a839a,MCO,MCN
69d400827dca6ba0935a839b,MCO,MHH
69d400827dca6ba0935a839c,MCO,PNS
69d400827dca6ba0935a839d,MCO,RSW
69d400827dca6ba0935a839e,MCO,TLH
69d400827dca6ba0935a839f,MEI,ATL
69d400827dca6ba0935a83a0,MHH,FLL
69d400827dca6ba0935a83a1,MHH,JAX
69d400827dca6ba0935a83a2,MHH,MCO
69d400827dca6ba0935a83a3,MHH,PBI
69d400827dca6ba0935a83a4,MSL,ATL
69d400827dca6ba0935a83a5,PBI,ELH
69d400827dca6ba0935a83a6,PBI,MHH
69d400827dca6ba0935a83a7,PBI,TPA
69d400827dca6ba0935a83a8,PIB,ATL
69d400827dca6ba0935a83a9,PNS,MCO
69d400827dca6ba0935a83aa,PNS,TPA
69d400827dca6ba0935a83ab,RSW,EYW
69d400827dca6ba0935a83ac,RSW,MCO
69d400827dca6ba0935a83ad,TCB,FLL
69d400827dca6ba0935a83ae,TLH,MCO
69d400827dca6ba0935a83af,TLH,TPA
69d400827dca6ba0935a83b0,TPA,EYW
69d400827dca6ba0935a83b1,TPA,FLL
69d400827dca6ba0935a83b2,TPA,GNV
69d400827dca6ba0935a83b3,TPA,JAX
69d400827dca6ba0935a83b4,TPA,PBI
69d400827dca6ba0935a83b5,TPA,PNS
69d400827dca6ba0935a83b6,TPA,TLH
69d400827dca6ba0935a83b7,TUP,ATL
69d400827dca6ba0935a83b8,TUP,GLH
69d400827dca6ba0935a83b9,AMS,NDR
69d400827dca6ba0935a83ba,AMS,TNG
69d400827dca6ba0935a83bb,BCN,CMN
69d400827dca6ba0935a83bc,BCN,NDR
69d400827dca6ba0935a83bd,BCN,TNG
69d400827dca6ba0935a83be,BGY,CMN
69d400827dca6ba0935a83bf,BLQ,CMN
69d400827dca6ba0935a83c0,BRU,CMN
