flugroute_id,abflug_iata,ankunft_iata,richtung,de_flughafen_iata,de_flughafen_typ,ausland_stadt,ausland_flughafen_iata,fluege_bestaetigt,fluege_gesamt,airlines_bestaetigt,airlines_gesamt,anzahl_portale,portale_liste,distanz_km,distanz_kategorie
69d400827dca6ba0935afbfc,CPH,STR,nach DE,STR,Hub,Copenhagen,CPH,11,14,1,1,2,"fluegede,idealo",805.0,Mittel (500-1500km)
69d400827dca6ba0935a9ba3,CFU,FRA,nach DE,FRA,Hub,Kerkyra Island,CFU,11,13,5,5,2,"fluegede,idealo",1462.0,Mittel (500-1500km)
69d400827dca6ba0935abd64,FRA,TFS,ab DE,FRA,Hub,Tenerife Island,TFS,11,13,4,5,2,"fluegede,idealo",3237.0,Lang (>1500km)
69d400827dca6ba0935b0026,ESB,FRA,nach DE,FRA,Hub,Ankara,ESB,11,13,4,4,2,"fluegede,idealo",2198.0,Lang (>1500km)
69d400827dca6ba0935abd68,FUE,FRA,nach DE,FRA,Hub,Fuerteventura Island,FUE,11,13,4,4,2,"fluegede,idealo",3054.0,Lang (>1500km)
69d400827dca6ba0935b0039,FRA,ESB,ab DE,FRA,Hub,Ankara,ESB,11,13,3,3,2,"fluegede,idealo",2198.0,Lang (>1500km)
69d400827dca6ba0935b1d2b,BEG,BER,nach DE,BER,Hub,Belgrad,BEG,11,13,2,2,2,"fluegede,idealo",976.0,Mittel (500-1500km)
69d400827dca6ba0935b3915,FRA,NQZ,ab DE,FRA,Hub,Astana,NQZ,11,13,2,2,2,"fluegede,idealo",4311.0,Lang (>1500km)
69d400827dca6ba0935afcde,ERF,AYT,ab DE,ERF,Provinz,Antalya,AYT,11,13,2,2,2,"fluegede,idealo",2217.0,Lang (>1500km)
69d400827dca6ba0935b1db2,BER,LUX,ab DE,BER,Hub,Luxembourg,LUX,11,13,1,1,2,"fluegede,idealo",615.0,Mittel (500-1500km)
69d400827dca6ba0935ac5b6,DXB,HAM,nach DE,HAM,Hub,Dubai,DXB,11,13,1,1,2,"fluegede,idealo",4884.0,Lang (>1500km)
69d400827dca6ba0935abd40,FNC,FRA,nach DE,FRA,Hub,Funchal,FNC,11,12,4,4,2,"fluegede,idealo",2834.0,Lang (>1500km)
69d400827dca6ba0935b3d11,HAJ,HRG,ab DE,HAJ,Provinz,Hurghada,HRG,11,12,4,4,2,"fluegede,idealo",3450.0,Lang (>1500km)
69d400827dca6ba0935b415e,HRG,HAJ,nach DE,HAJ,Provinz,Hurghada,HRG,11,12,4,4,2,"fluegede,idealo",3450.0,Lang (>1500km)
69d400827dca6ba0935ae8f4,CAI,MUC,nach DE,MUC,Hub,Cairo,CAI,11,12,3,3,2,"fluegede,idealo",2623.0,Lang (>1500km)
69d400827dca6ba0935afcc5,AYT,ERF,nach DE,ERF,Provinz,Antalya,AYT,11,12,2,2,2,"fluegede,idealo",2217.0,Lang (>1500km)
69d400827dca6ba0935b6f1e,SCN,BER,Inland,SCN,Provinz,,,11,12,1,1,2,"fluegede,idealo",569.0,Mittel (500-1500km)
69d400827dca6ba0935acfff,FKB,STN,ab DE,FKB,Provinz,London,STN,11,12,1,1,2,"fluegede,idealo",655.0,Mittel (500-1500km)
69d400827dca6ba0935ae3d0,MUC,LJU,ab DE,MUC,Hub,Ljubljana,LJU,11,12,1,1,2,"fluegede,idealo",311.0,Kurz (0-500km)
69d400827dca6ba0935ae3c5,LJU,MUC,nach DE,MUC,Hub,Ljubljana,LJU,11,12,1,1,2,"fluegede,idealo",311.0,Kurz (0-500km)
69d400827dca6ba0935ae909,DUS,OSL,ab DE,DUS,Hub,Oslo,OSL,10,162,2,11,2,"fluegede,idealo",1026.0,Mittel (500-1500km)
69d400827dca6ba0935a9ccf,MUC,TLV,ab DE,MUC,Hub,Tel Aviv,TLV,10,125,2,16,2,"fluegede,idealo",2655.0,Lang (>1500km)
69d400827dca6ba0935a9bd7,DUS,FAO,ab DE,DUS,Hub,Faro,FAO,10,117,2,12,2,"fluegede,idealo",1967.0,Lang (>1500km)
69d400827dca6ba0935ae942,FRA,FAO,ab DE,FRA,Hub,Faro,FAO,10,96,2,14,2,"fluegede,idealo",1957.0,Lang (>1500km)
69d400827dca6ba0935abdaa,MUC,CHQ,ab DE,MUC,Hub,Souda,CHQ,10,86,4,12,2,"fluegede,idealo",1750.0,Lang (>1500km)
69d400827dca6ba0935ae923,FAO,FRA,nach DE,FRA,Hub,Faro,FAO,10,80,2,15,2,"fluegede,idealo",1957.0,Lang (>1500km)
69d400827dca6ba0935a9bf7,DUS,SZG,ab DE,DUS,Hub,Salzburg,SZG,10,76,1,3,2,"fluegede,idealo",594.0,Mittel (500-1500km)
69d400827dca6ba0935a9c1b,FRA,CFU,ab DE,FRA,Hub,Kerkyra Island,CFU,10,67,6,13,3,"check24,fluegede,idealo",1462.0,Mittel (500-1500km)
69d400827dca6ba0935a9d4e,SZG,DUS,nach DE,DUS,Hub,Salzburg,SZG,10,65,1,2,2,"fluegede,idealo",594.0,Mittel (500-1500km)
69d400827dca6ba0935a9bc4,DRS,AYT,ab DE,DRS,Provinz,Antalya,AYT,10,44,2,5,3,"check24,fluegede,idealo",2078.0,Lang (>1500km)
69d400827dca6ba0935ad09d,HHN,STN,ab DE,HHN,Provinz,London,STN,10,38,1,2,2,"fluegede,idealo",537.0,Mittel (500-1500km)
69d400827dca6ba0935a9bab,CGN,HRG,ab DE,CGN,Hub,Hurghada,HRG,10,30,3,6,2,"fluegede,idealo",3461.0,Lang (>1500km)
69d400827dca6ba0935a9ba9,CGN,AGP,ab DE,CGN,Hub,Malaga,AGP,10,29,2,2,2,"fluegede,idealo",1829.0,Lang (>1500km)
